x,y,z
2.600000000000000000e+01,-1.540000000000000000e+02,-5.000000000000000000e+00
2.350000000000000000e+01,-1.450000000000000000e+02,-5.500000000000000000e+00
1.500000000000000000e+01,-1.210000000000000000e+02,0.000000000000000000e+00
-7.000000000000000000e+00,-1.170000000000000000e+02,0.000000000000000000e+00
-2.600000000000000000e+01,-1.130000000000000000e+02,0.000000000000000000e+00
7.333333333333340143e+00,-1.490000000000000000e+02,1.000000000000000000e+02
4.666666666666671404e+00,-1.420000000000000000e+02,9.966666666666667140e+01
6.000000000000000000e+00,-1.560000000000000000e+02,-4.898587196589413026e-15
9.666666666666666075e+00,-1.363333333333333428e+02,2.699999999999999645e+01
1.000000000000000000e+01,-1.263333333333333286e+02,2.699999999999999645e+01
9.000000000000000000e+00,-1.266666666666666714e+02,2.599999999999999645e+01
4.898587196589413026e-15,-1.180000000000000000e+02,8.000000000000000000e+01
4.531193156845206793e-15,-1.190000000000000000e+02,7.400000000000000000e+01
4.653657836759941941e-15,-1.090000000000000000e+02,7.600000000000000000e+01
3.857637417314162689e-15,-1.080000000000000000e+02,6.300000000000000000e+01
2.388061258337338939e-15,-1.160000000000000000e+02,3.900000000000000000e+01
1.285879139104720831e-15,-1.080000000000000000e+02,2.100000000000000000e+01
-1.438959988998139963e-15,-1.650000000000000000e+02,-1.550000000000000000e+01
-6.735557395310442023e-16,-1.595000000000000000e+02,-1.800000000000000000e+01
1.102182119232617517e-15,-1.605000000000000000e+02,-9.000000000000000000e+00
2.449293598294706119e-15,-1.325000000000000000e+02,-6.000000000000000000e+00
2.066666666666666785e+01,-8.066666666666667140e+01,0.000000000000000000e+00
1.800000000000000355e+01,-6.000000000000000000e+01,3.333333333333333481e+00
1.300000000000000178e+01,-4.733333333333333570e+01,1.333333333333333259e+00
-1.299999999999999645e+01,-4.850000000000000000e+01,8.500000000000003553e+00
-1.474999999999999645e+01,-3.625000000000000000e+01,4.000000000000003553e+00
-2.266666666666666075e+01,-3.866666666666666430e+01,2.400000000000000355e+01
-2.533333333333332860e+01,-3.400000000000000000e+01,2.200000000000000355e+01
-2.533333333333332860e+01,-3.166666666666666785e+01,1.900000000000000355e+01
-2.566666666666666075e+01,-2.766666666666666785e+01,1.900000000000000355e+01
-3.500000000000000000e+01,-4.300000000000000000e+01,4.286263797015736496e-15
-4.499999999999998224e+00,-1.300000000000000000e+01,2.950000000000000000e+01
-3.999999999999996891e+00,4.000000000000000000e+01,5.150000000000000000e+01
1.650000000000000355e+01,3.350000000000000000e+01,3.500000000000000000e+01
3.433333333333333570e+01,4.566666666666666430e+01,2.233333333333333215e+01
3.733333333333333570e+01,5.166666666666666430e+01,1.966666666666666430e+01
3.033333333333333215e+01,6.733333333333332860e+01,1.099999999999999822e+01
3.133333333333333215e+01,6.866666666666667140e+01,3.666666666666664742e+00
2.999999999999994671e+00,3.700000000000000000e+01,-3.333333333333333570e+01
2.749999999999996003e+00,2.875000000000000000e+01,-2.550000000000000000e+01
4.999999999999955591e-01,4.725000000000000000e+01,-2.850000000000000000e+01
-1.000000000000000533e+01,4.633333333333333570e+01,-3.433333333333333570e+01
-1.033333333333333748e+01,2.533333333333333215e+01,-2.033333333333333215e+01
-6.666666666666668739e+00,2.833333333333333215e+01,-1.166666666666666607e+01
-1.000000000000000000e+01,1.800000000000000000e+01,-5.000000000000000000e-01
5.510910596163089556e-16,9.000000000000000000e+00,3.000000000000000000e+00
-1.633333333333332860e+01,5.966666666666666430e+01,3.333333333333333570e+01
-1.266666666666666430e+01,6.533333333333332860e+01,2.233333333333333215e+01
-1.066666666666666252e+01,6.700000000000000000e+01,3.266666666666666430e+01
3.333333333333337034e+00,7.733333333333332860e+01,2.733333333333333215e+01
5.666666666666668739e+00,6.966666666666667140e+01,1.866666666666666785e+01
1.800000000000000355e+01,6.075000000000000000e+01,8.749999999999998224e+00
1.533333333333333393e+01,5.966666666666666430e+01,-5.333333333333334814e+00
-5.000000000000012212e-01,4.200000000000000000e+01,-1.950000000000000000e+01
5.999999999999999112e+00,4.300000000000000000e+01,-1.950000000000000000e+01
-1.150000000000000000e+01,2.800000000000000000e+01,-1.500000000000000000e+00
-2.000000000000000000e+01,4.066666666666666430e+01,-2.333333333333331705e+00
-2.033333333333333570e+01,7.000000000000000000e+01,-1.833333333333333215e+01
-3.333333333333333570e+01,5.400000000000000000e+01,6.666666666666714036e-01
-1.050000000000000000e+01,4.050000000000000000e+01,1.675000000000000355e+01
-7.249999999999999112e+00,4.975000000000000000e+01,1.550000000000000178e+01
6.250000000000000888e+00,5.575000000000000000e+01,1.475000000000000178e+01
8.500000000000001776e+00,5.975000000000000000e+01,1.800000000000000000e+01
1.050000000000000178e+01,4.050000000000000000e+01,1.425000000000000000e+01
1.050000000000000178e+01,4.225000000000000000e+01,2.999999999999999556e+00
9.500000000000001776e+00,4.575000000000000000e+01,-3.000000000000000000e+00
2.750000000000000000e+00,3.175000000000000000e+01,-4.750000000000000000e+00
2.500000000000000000e+00,3.450000000000000000e+01,-4.750000000000000000e+00
3.000000000000000000e+00,4.200000000000000000e+01,-3.061616997868383141e-16
-3.666666666666669183e+00,4.233333333333333570e+01,-1.366666666666666607e+01
-1.775000000000000355e+01,3.550000000000000000e+01,-8.249999999999996447e+00
7.666666666666665186e+00,2.700000000000000000e+01,-2.000000000000000000e+00
-1.733333333333333570e+01,3.233333333333333570e+01,4.333333333333335702e+00
-1.600000000000000000e+01,3.833333333333333570e+01,8.000000000000001776e+00
0.000000000000000000e+00,3.575000000000000000e+01,1.225000000000000178e+01
1.000000000000000222e+00,2.950000000000000000e+01,8.250000000000000000e+00
-1.249999999999998224e+00,3.600000000000000000e+01,1.175000000000000000e+01
2.750000000000001332e+00,2.975000000000000000e+01,1.225000000000000000e+01
-2.499999999999998668e+00,3.050000000000000000e+01,1.225000000000000000e+01
-6.249999999999998224e+00,3.400000000000000000e+01,1.025000000000000000e+01
-1.166666666666666607e+01,2.300000000000000000e+01,2.666666666666666075e+00
2.000000000000000000e+00,4.700000000000000000e+01,-2.449293598294706414e-16
-8.000000000000005329e+00,3.650000000000000000e+01,-2.850000000000000000e+01
-7.000000000000004441e+00,3.350000000000000000e+01,-2.550000000000000000e+01
-1.100000000000000178e+01,3.433333333333333570e+01,4.000000000000002665e+00
-1.166666666666666607e+01,1.800000000000000000e+01,1.033333333333333393e+01
7.500000000000000000e-01,6.750000000000000000e+00,1.150000000000000000e+01
1.000000000000000888e+00,7.250000000000000000e+00,8.000000000000000000e+00
6.000000000000000888e+00,1.900000000000000000e+01,9.333333333333333925e+00
7.333333333333334814e+00,1.733333333333333215e+01,7.999999999999999112e+00
1.530808498934191127e-15,6.500000000000000000e+00,-2.000000000000000000e+00
2.400000000000000000e+01,-2.933333333333333215e+01,-1.000000000000000000e+00
2.799999999999999645e+01,-8.200000000000000000e+01,-3.300000000000000000e+01
-2.333333333333334370e+00,-6.433333333333332860e+01,-2.500000000000000000e+01
-3.333333333333334370e+00,-6.400000000000000000e+01,-1.833333333333333215e+01
6.666666666666655194e-01,-4.900000000000000000e+01,-1.833333333333333215e+01
-2.600000000000000000e+01,-3.333333333333333570e+01,-6.666666666666639651e-01
-2.666666666666666785e+01,-3.066666666666666785e+01,3.333333333333335702e+00
-3.433333333333333570e+01,-3.466666666666666430e+01,8.666666666666669627e+00
-2.733333333333333215e+01,-3.333333333333333570e+01,7.666666666666667851e+00
-2.250000000000000000e+01,-5.575000000000000000e+01,1.750000000000000000e+01
-2.149999999999999645e+01,-6.200000000000000000e+01,2.100000000000000000e+01
-4.499999999999998224e+00,-1.005000000000000000e+02,2.500000000000000000e+01
9.500000000000001776e+00,-1.220000000000000000e+02,2.500000000000000000e+01
1.250000000000000178e+01,-9.850000000000000000e+01,4.200000000000000000e+01
2.466666666666666785e+01,-7.966666666666667140e+01,2.566666666666666075e+01
2.400000000000000000e+01,-7.500000000000000000e+01,1.833333333333332860e+01
2.400000000000000000e+01,-7.466666666666667140e+01,1.299999999999999822e+01
2.143131898507868248e-15,-1.120000000000000000e+02,3.500000000000000000e+01
5.999999999999993783e+00,-9.866666666666667140e+01,-2.366666666666666785e+01
6.666666666666660745e+00,-9.466666666666667140e+01,-3.333333333333333570e+01
-9.307315673519883881e-15,-8.100000000000000000e+01,-6.300000000000000000e+01
-9.246083333562516307e-15,-9.850000000000000000e+01,-6.500000000000000000e+01
2.633333333333332860e+01,-9.633333333333332860e+01,-3.766666666666666430e+01
3.000000000000000000e+01,-9.733333333333332860e+01,-2.966666666666666785e+01
2.866666666666666785e+01,-9.633333333333332860e+01,-2.833333333333333215e+01
3.000000000000000888e+00,-1.007500000000000000e+02,-1.374999999999999645e+01
-8.749999999999998224e+00,-1.127500000000000000e+02,-7.749999999999996447e+00
-1.124999999999999822e+01,-1.102500000000000000e+02,-4.999999999999998224e+00
-1.866666666666666430e+01,-1.193333333333333286e+02,1.266666666666667140e+01
-2.900000000000000000e+01,-9.900000000000000000e+01,5.082284216461515748e-15
-1.899999999999999645e+01,-9.033333333333332860e+01,2.366666666666667140e+01
-1.633333333333332860e+01,-9.100000000000000000e+01,2.366666666666666785e+01
-2.550000000000000000e+01,-1.000000000000000000e+02,1.530808498934191521e-15
-2.850000000000000000e+01,-8.200000000000000000e+01,1.163414459189985485e-15
-1.450000000000000000e+01,-8.550000000000000000e+01,-9.797174393178825657e-16
-1.200000000000000000e+01,-7.650000000000000000e+01,-2.449293598294706513e-15
-1.750000000000000666e+00,-8.975000000000000000e+01,8.999999999999998224e+00
4.999999999999999112e+00,-8.800000000000000000e+01,8.999999999999998224e+00
9.000000000000000000e+00,-8.100000000000000000e+01,-4.531193156845206793e-15
4.450000000000000000e+01,-9.300000000000000000e+01,4.849999999999999289e+01
4.650000000000000000e+01,-9.900000000000000000e+01,4.199999999999999289e+01
2.399999999999999645e+01,-9.900000000000000000e+01,-5.000000000000004441e+00
2.399999999999999645e+01,-9.000000000000000000e+01,-2.666666666666671404e+00
-6.368163355566236381e-15,-7.500000000000000000e+01,-1.500000000000000000e+01
-5.051668046482831172e-15,-8.850000000000000000e+01,-1.250000000000000000e+01
-6.062001655779397722e-15,-8.550000000000000000e+01,-2.000000000000000000e+01
-6.490628035480971530e-15,-9.350000000000000000e+01,-3.200000000000000000e+01
-5.633375276077823915e-15,-9.850000000000000000e+01,-3.200000000000000000e+01
-3.857637417314162689e-15,-9.050000000000000000e+01,-2.900000000000000000e+01
-1.714505518806294441e-15,-8.350000000000000000e+01,-1.800000000000000000e+01
9.184850993605136112e-17,-1.030000000000000000e+02,-1.350000000000000000e+01
2.166666666666666785e+01,-1.193333333333333286e+02,-1.400000000000000000e+01
-4.749999999999997335e+00,-1.042500000000000000e+02,-3.499999999999998224e+00
-5.250000000000000000e+00,-1.227500000000000000e+02,-4.499999999999998224e+00
2.500000000000002665e+00,-1.075000000000000000e+02,-5.499999999999996447e+00
-1.999999999999996447e+00,-1.027500000000000000e+02,-1.999999999999996447e+00
5.666666666666671404e+00,-1.013333333333333286e+02,2.900000000000000355e+01
8.666666666666671404e+00,-1.100000000000000000e+02,2.333333333333333925e+01
2.000000000000003997e+00,-1.203333333333333286e+02,2.300000000000000355e+01
1.050000000000000000e+01,-1.335000000000000000e+02,3.673940397442059967e-15
3.900000000000000000e+01,-1.200000000000000000e+02,1.530808498934191521e-15
4.450000000000000000e+01,-1.305000000000000000e+02,8.572527594031472204e-16
-9.000000000000000000e+00,-1.170000000000000000e+02,1.102182119232617911e-15
4.500000000000000000e+01,-1.705000000000000000e+02,-1.163414459189985485e-15
4.700000000000000000e+01,-1.810000000000000000e+02,-2.939152317953647500e-15
5.150000000000000000e+01,-1.835000000000000000e+02,-3.429011037612588881e-15
2.799999999999999645e+01,-1.125000000000000000e+02,-1.950000000000000355e+01
-9.000000000000000000e+00,-1.690000000000000000e+02,0.000000000000000000e+00
2.800000000000000000e+01,-1.730000000000000000e+02,-4.041334437186265411e-15
3.399999999999999289e+01,-1.270000000000000000e+02,-3.950000000000000711e+01
3.599999999999999289e+01,-1.375000000000000000e+02,-4.750000000000000711e+01
3.799999999999999289e+01,-1.550000000000000000e+02,-4.800000000000000711e+01
3.799999999999999289e+01,-1.655000000000000000e+02,-5.250000000000000711e+01
-1.506315562951244216e-14,-1.770000000000000000e+02,-8.200000000000000000e+01
-1.138921523207038456e-14,-1.740000000000000000e+02,-6.200000000000000000e+01
-1.157291225194248728e-14,-1.740000000000000000e+02,-6.300000000000000000e+01
-5.510910596163088767e-15,-1.920000000000000000e+02,-3.000000000000000000e+01
-3.490243377569956456e-15,-1.970000000000000000e+02,-1.900000000000000000e+01
-5.510910596163088767e-15,-1.960000000000000000e+02,-3.000000000000000000e+01
4.666666666666666430e+01,-1.716666666666666572e+02,5.333333333333330373e+00
4.666666666666666430e+01,-1.710000000000000000e+02,1.299999999999999822e+01
3.200000000000000711e+01,-1.785000000000000000e+02,2.850000000000000000e+01
2.200000000000000711e+01,-1.975000000000000000e+02,4.000000000000000000e+01
6.500000000000006217e+00,-2.080000000000000000e+02,3.500000000000000000e+01
1.300000000000000711e+01,-2.030000000000000000e+02,3.500000000000000000e+01
1.666666666666671404e+00,-1.910000000000000000e+02,2.566666666666666785e+01
-1.049999999999999822e+01,-1.782500000000000000e+02,1.225000000000000000e+01
-7.999999999999999112e+00,-1.636666666666666572e+02,7.000000000000000000e+00
-1.199999999999999645e+01,-1.775000000000000000e+02,2.400000000000000000e+01
8.633759933988838989e-15,-1.900000000000000000e+02,4.700000000000000000e+01
3.600000000000000000e+01,-2.050000000000000000e+02,-4.408728476930471644e-15
4.100000000000000000e+01,-1.950000000000000000e+02,-5.021051876504148174e-15
2.150000000000000000e+01,-1.850000000000000000e+02,4.999999999999997335e+00
3.100000000000000000e+01,-1.885000000000000000e+02,4.999999999999996447e+00
3.099999999999999645e+01,-1.905000000000000000e+02,-1.200000000000000355e+01
2.600000000000000000e+01,-1.733333333333333428e+02,1.099999999999999822e+01
4.100000000000000000e+01,-1.780000000000000000e+02,2.549999999999999645e+01
2.265596578422603396e-15,-1.910000000000000000e+02,3.700000000000000000e+01
1.666666666666666075e+01,-1.826666666666666572e+02,-1.033333333333333570e+01
-5.663991446056507702e-15,-1.855000000000000000e+02,-2.750000000000000000e+01
-4.745506346695993302e-15,-1.915000000000000000e+02,-2.650000000000000000e+01
-4.745506346695993302e-15,-2.065000000000000000e+02,-2.850000000000000000e+01
1.866666666666666430e+01,-1.873333333333333428e+02,-2.600000000000000000e+01
5.749999999999999112e+00,-1.695000000000000000e+02,-1.925000000000000000e+01
-1.066666666666666963e+01,-1.830000000000000000e+02,-1.399999999999999822e+01
-3.450000000000000000e+01,-1.810000000000000000e+02,1.550000000000000355e+01
9.666666666666669627e+00,-1.716666666666666572e+02,1.000000000000000178e+01
9.500000000000000000e+01,-1.570000000000000000e+02,0.000000000000000000e+00
-5.749999999999999289e+01,-1.680000000000000000e+02,3.650000000000000711e+01
-1.066666666666666252e+01,-1.623333333333333428e+02,2.800000000000000355e+01
-1.799999999999999645e+01,-1.740000000000000000e+02,2.800000000000000355e+01
-2.000000000000000000e+01,-1.850000000000000000e+02,6.429395695523603956e-15
-5.999999999999997335e+00,-1.763333333333333428e+02,1.366666666666666963e+01
-1.033333333333333037e+01,-1.743333333333333428e+02,1.366666666666666963e+01
-1.000000000000000000e+01,-1.780000000000000000e+02,1.898202538678397557e-15
-9.500000000000000000e+00,-1.855000000000000000e+02,1.898202538678397557e-15
1.000000000000000000e+01,-2.015000000000000000e+02,-1.714505518806294441e-15
6.500000000000000000e+00,-1.895000000000000000e+02,-1.714505518806294441e-15
1.750000000000000000e+01,-1.850000000000000000e+02,-3.857637417314162689e-15
2.850000000000000000e+01,-1.740000000000000000e+02,-4.959819536546780600e-15
3.150000000000000000e+01,-1.735000000000000000e+02,-4.959819536546780600e-15
2.050000000000000000e+01,-1.710000000000000000e+02,-5.694607616035192278e-15
7.999999999999996447e+00,-1.600000000000000000e+02,-1.900000000000000355e+01
-1.333333333333336812e+00,-1.550000000000000000e+02,-1.900000000000000355e+01
-4.250000000000000000e+01,-1.665000000000000000e+02,5.500000000000000000e+01
-4.599999999999999289e+01,-1.470000000000000000e+02,6.200000000000000000e+01
-2.466666666666666785e+01,-1.516666666666666572e+02,1.900000000000000000e+01
-2.466666666666667140e+01,-1.490000000000000000e+02,1.400000000000000000e+01
-1.622657008870242685e-15,-1.870000000000000000e+02,2.350000000000000000e+01
-3.061616997868378704e-16,-1.845000000000000000e+02,3.100000000000000000e+01
7.347880794884120722e-16,-1.980000000000000000e+02,3.400000000000000000e+01
3.367778697655221307e-15,-1.875000000000000000e+02,4.700000000000000000e+01
4.255647627037052709e-15,-1.955000000000000000e+02,4.350000000000000000e+01
6.153850165715449083e-15,-1.865000000000000000e+02,4.950000000000000000e+01
5.939536975864662574e-15,-1.570000000000000000e+02,3.900000000000000000e+01
-1.466666666666666430e+01,-1.530000000000000000e+02,2.266666666666666785e+01
-1.099999999999999467e+01,-1.600000000000000000e+02,3.133333333333333215e+01
-2.999999999999994671e+00,-1.623333333333333428e+02,2.733333333333333215e+01
-3.333333333333328152e+00,-1.603333333333333428e+02,1.866666666666666785e+01
7.347880794884118356e-15,-1.685000000000000000e+02,2.000000000000000000e+01
7.776507174585692952e-15,-1.640000000000000000e+02,1.600000000000000000e+01
7.102951435054647270e-15,-1.545000000000000000e+02,9.000000000000000000e+00
-2.999999999999999645e+01,-1.420000000000000000e+02,1.166666666666667140e+01
-2.999999999999999645e+01,-1.446666666666666572e+02,1.033333333333333748e+01
5.786456125971242850e-15,-1.465000000000000000e+02,1.500000000000000000e+00
5.021051876504147385e-15,-1.430000000000000000e+02,2.000000000000000000e+00
-3.199999999999999645e+01,-1.500000000000000000e+02,1.333333333333338144e+00
-1.000000000000000000e+02,-1.650000000000000000e+02,1.224646799147353217e-14
-1.050000000000000000e+02,-1.650000000000000000e+02,1.285879139104720791e-14
-1.900000000000000000e+01,-1.465000000000000000e+02,6.429395695523603956e-15
-8.000000000000000000e+00,-1.555000000000000000e+02,5.265981236333618470e-15
-1.999999999999999334e+00,-1.420000000000000000e+02,4.000000000000002665e+00
-6.500000000000000000e+00,-1.630000000000000000e+02,3.490243377569956456e-15
-1.500000000000000000e+00,-1.655000000000000000e+02,1.836970198721029983e-15
-3.000000000000000000e+00,-1.645000000000000000e+02,4.286263797015736102e-16
-4.500000000000000000e+00,-1.490000000000000000e+02,-3.061616997868383141e-16
-1.000000000000004219e+00,-1.330000000000000000e+02,-2.333333333333333215e+01
3.333333333333329040e+00,-1.323333333333333428e+02,-2.333333333333333215e+01
